ItineraryMileageMin, ItineraryMileageMax,Economy Class,Business Class
"4,001","7,000","38,000","63,000"
"7,001","9,000","43,000","68,000"
"9,001","11,000","55,000","85,000"
"11,001","14,000","60,000","90,000"
"14,001","18,000","65,000","105,000"
"18,001","20,000","75,000","115,000"
"20,001","22,000","85,000","125,000"
"22,001","25,000","100,000","145,000"
"25,001","29,000","120,000","170,000"
"29,001","34,000","140,000","200,000"
"34,001","39,000","160,000","220,000"
"39,001","44,000","180,000","270,000"
"44,001","50,000","200,000","300,000"